% Model,Untitled.mph
% Version,COMSOL 5.6.0.401
% Date,"Jan 28 2022, 23:51"
% Table,Table 2 - Surface Integration 1
% shift (m),I_0 (A),d_cover (m),r_0 (m),-mf.Jphi*mf.Br (N)
1.0E-4,0.25,5.0E-4,1.0E-4,1.9148793350025481
1.0E-4,0.25,5.0E-4,2.0E-4,0.1196799584379397
1.0E-4,0.25,5.0E-4,3.0000000000000003E-4,0.02364048561734665
1.0E-4,0.25,5.0E-4,4.0E-4,0.007479997402363751
1.0E-4,0.25,5.0E-4,5.0E-4,0.003063806936008218
1.0E-4,0.25,6.000000000000001E-4,1.0E-4,1.3789416191038302
1.0E-4,0.25,6.000000000000001E-4,2.0E-4,0.08618385119400766
1.0E-4,0.25,6.000000000000001E-4,3.0000000000000003E-4,0.017023970606237775
1.0E-4,0.25,6.000000000000001E-4,4.0E-4,0.0053864906996301245
1.0E-4,0.25,6.000000000000001E-4,5.0E-4,0.0022063065905660157
1.0E-4,0.25,7.0E-4,1.0E-4,1.2927614077975667
1.0E-4,0.25,7.0E-4,2.0E-4,0.08079758798752582
1.0E-4,0.25,7.0E-4,3.0000000000000003E-4,0.01596001738024352
1.0E-4,0.25,7.0E-4,4.0E-4,0.00504984924921087
1.0E-4,0.25,7.0E-4,5.0E-4,0.0020684182524798194
1.0E-4,0.25,8.0E-4,1.0E-4,1.9411204114927378
1.0E-4,0.25,8.0E-4,2.0E-4,0.12132002571820648
1.0E-4,0.25,8.0E-4,3.0000000000000003E-4,0.02396444952460183
1.0E-4,0.25,8.0E-4,4.0E-4,0.007582501607393507
1.0E-4,0.25,8.0E-4,5.0E-4,0.0031057926583860315
1.0E-4,0.25,9.0E-4,1.0E-4,1.9727759217299214
1.0E-4,0.25,9.0E-4,2.0E-4,0.12329849510812009
1.0E-4,0.25,9.0E-4,3.0000000000000003E-4,0.02435525829296237
1.0E-4,0.25,9.0E-4,4.0E-4,0.007706155944266662
1.0E-4,0.25,9.0E-4,5.0E-4,0.003156441474767899
1.0E-4,0.25,0.001,1.0E-4,1.3935956233782896
1.0E-4,0.25,0.001,2.0E-4,0.08709972646094406
1.0E-4,0.25,0.001,3.0000000000000003E-4,0.01720488423923281
1.0E-4,0.25,0.001,4.0E-4,0.005443732903809029
1.0E-4,0.25,0.001,5.0E-4,0.0022297529974052857
1.0E-4,0.25,0.0011,1.0E-4,0.48821876553150834
1.0E-4,0.25,0.0011,2.0E-4,0.03051367284571927
1.0E-4,0.25,0.0011,3.0000000000000003E-4,0.006027392167068562
1.0E-4,0.25,0.0011,4.0E-4,0.0019071045528574544
1.0E-4,0.25,0.0011,5.0E-4,7.811500248531328E-4
1.0E-4,0.25,0.0012000000000000001,1.0E-4,0.05824443491999631
1.0E-4,0.25,0.0012000000000000001,2.0E-4,0.0036402771824997696
1.0E-4,0.25,0.0012000000000000001,3.0000000000000003E-4,7.19067097784971E-4
1.0E-4,0.25,0.0012000000000000001,4.0E-4,2.2751732390166222E-4
1.0E-4,0.25,0.0012000000000000001,5.0E-4,9.319109587299198E-5
1.0E-4,0.25,0.0013,1.0E-4,0.20362630567474013
1.0E-4,0.25,0.0013,2.0E-4,0.012726644104671258
1.0E-4,0.25,0.0013,3.0000000000000003E-4,0.002513905008337375
1.0E-4,0.25,0.0013,4.0E-4,7.954152565380969E-4
1.0E-4,0.25,0.0013,5.0E-4,3.258020890805063E-4
1.0E-4,0.25,0.0014000000000000002,1.0E-4,0.3749654539841918
1.0E-4,0.25,0.0014000000000000002,2.0E-4,0.023435340874011987
1.0E-4,0.25,0.0014000000000000002,3.0000000000000003E-4,0.004629203135558848
1.0E-4,0.25,0.0014000000000000002,4.0E-4,0.0014647088046258066
1.0E-4,0.25,0.0014000000000000002,5.0E-4,5.999447263686311E-4
1.0E-4,0.25,0.0015,1.0E-4,0.3357777604477761
1.0E-4,0.25,0.0015,2.0E-4,0.020986110027986005
1.0E-4,0.25,0.0015,3.0000000000000003E-4,0.004145404449971968
1.0E-4,0.25,0.0015,4.0E-4,0.0013116318767491253
1.0E-4,0.25,0.0015,5.0E-4,5.372444167164464E-4
1.0E-4,0.5,5.0E-4,1.0E-4,7.65951734001015
1.0E-4,0.5,5.0E-4,2.0E-4,0.4787198337517588
1.0E-4,0.5,5.0E-4,3.0000000000000003E-4,0.09456194246926444
1.0E-4,0.5,5.0E-4,4.0E-4,0.029919989609484925
1.0E-4,0.5,5.0E-4,5.0E-4,0.012255227744005507
1.0E-4,0.5,6.000000000000001E-4,1.0E-4,5.5157664764212475
1.0E-4,0.5,6.000000000000001E-4,2.0E-4,0.34473540477633063
1.0E-4,0.5,6.000000000000001E-4,3.0000000000000003E-4,0.06809588242510035
1.0E-4,0.5,6.000000000000001E-4,4.0E-4,0.021545962798520665
1.0E-4,0.5,6.000000000000001E-4,5.0E-4,0.00882522636227406
1.0E-4,0.5,7.0E-4,1.0E-4,5.171045631191931
1.0E-4,0.5,7.0E-4,2.0E-4,0.3231903519494957
1.0E-4,0.5,7.0E-4,3.0000000000000003E-4,0.06384006952087364
1.0E-4,0.5,7.0E-4,4.0E-4,0.020199396996918126
1.0E-4,0.5,7.0E-4,5.0E-4,0.008273673009899703
1.0E-4,0.5,8.0E-4,1.0E-4,7.764481645971437
1.0E-4,0.5,8.0E-4,2.0E-4,0.48528010287341
1.0E-4,0.5,8.0E-4,3.0000000000000003E-4,0.09585779809841317
1.0E-4,0.5,8.0E-4,4.0E-4,0.03033000642955162
1.0E-4,0.5,8.0E-4,5.0E-4,0.012423170633554545
1.0E-4,0.5,9.0E-4,1.0E-4,7.89110368691776
1.0E-4,0.5,9.0E-4,2.0E-4,0.49319398043238816
1.0E-4,0.5,9.0E-4,3.0000000000000003E-4,0.0974210331718488
1.0E-4,0.5,9.0E-4,4.0E-4,0.03082462377702331
1.0E-4,0.5,9.0E-4,5.0E-4,0.012625765899089817
1.0E-4,0.5,0.001,1.0E-4,5.574382493515293
1.0E-4,0.5,0.001,2.0E-4,0.3483989058431192
1.0E-4,0.5,0.001,3.0000000000000003E-4,0.0688195369567916
1.0E-4,0.5,0.001,4.0E-4,0.021774931615297637
1.0E-4,0.5,0.001,5.0E-4,0.008919011989607685
1.0E-4,0.5,0.0011,1.0E-4,1.9528750621301334
1.0E-4,0.5,0.0011,2.0E-4,0.12205469138345207
1.0E-4,0.5,0.0011,3.0000000000000003E-4,0.024109568668274246
1.0E-4,0.5,0.0011,4.0E-4,0.007628418211465754
1.0E-4,0.5,0.0011,5.0E-4,0.0031246000994162937
1.0E-4,0.5,0.0012000000000000001,1.0E-4,0.23297773968999252
1.0E-4,0.5,0.0012000000000000001,2.0E-4,0.014561108730474842
1.0E-4,0.5,0.0012000000000000001,3.0000000000000003E-4,0.0028762683911078006
1.0E-4,0.5,0.0012000000000000001,4.0E-4,9.100692956337833E-4
1.0E-4,0.5,0.0012000000000000001,5.0E-4,3.7276438350487926E-4
1.0E-4,0.5,0.0013,1.0E-4,0.8145052227012254
1.0E-4,0.5,0.0013,2.0E-4,0.05090657641868503
1.0E-4,0.5,0.0013,3.0000000000000003E-4,0.010055620033320804
1.0E-4,0.5,0.0013,4.0E-4,0.0031816610261766617
1.0E-4,0.5,0.0013,5.0E-4,0.0013032083563220252
1.0E-4,0.5,0.0014000000000000002,1.0E-4,1.4998618159259645
1.0E-4,0.5,0.0014000000000000002,2.0E-4,0.09374136349734649
1.0E-4,0.5,0.0014000000000000002,3.0000000000000003E-4,0.01851681254212043
1.0E-4,0.5,0.0014000000000000002,4.0E-4,0.005858835218406342
1.0E-4,0.5,0.0014000000000000002,5.0E-4,0.002399778905481766
1.0E-4,0.5,0.0015,1.0E-4,1.3431110417927896
1.0E-4,0.5,0.0015,2.0E-4,0.08394444011194731
1.0E-4,0.5,0.0015,3.0000000000000003E-4,0.016581617799903362
